PC1,PC2,PC3,Class
-0.4636627053051747,-0.39015294845355086,-0.3897661606227791,1
-0.0853406604835558,-0.6102906304856256,0.8470658243240848,1
-0.4091528930977964,-1.3307701675466515,0.8447327307543177,1
-0.2012894894799053,-1.2781778814895837,-0.4204936843278869,1
-1.0052939338629023,-0.49099075062142666,-1.094798316878316,1
-0.9243937302040169,0.6677171859235521,-1.5852146101158684,1
-2.472242089544402,1.3688885291187114,-1.0432847697504894,1
-0.8231075553810686,1.3029543802313535,0.20742203655042118,1
-2.391804405896135,1.2637587767173577,1.169215203996492,1
-1.9790202379512554,2.5505592462073627,0.45236537527995013,1
-1.8593308368468922,2.165154075617614,0.7852173744147579,1
-2.134073244608368,1.0664919595389422,0.1787812801290117,1
-1.7479610478880752,0.6591953733660639,1.049216516926145,1
-2.357415341558565,0.25345261919754025,1.1060764585861615,1
-2.705722907532579,0.5358713614047186,-0.19726437483872716,1
-1.9025596957842943,1.1285494486668115,1.325592357863409,1
-2.8548208887614783,1.0076089836042512,0.3369655256055512,1
-2.766385599076968,0.9267126389647096,1.440249543726661,1
-2.2858839230956782,2.3429640987615548,0.4308190858314746,1
-3.2960806189902554,1.7813150972503562,0.2492387417492951,1
-0.744380635965076,0.8413105938013778,0.909788337000107,1
-1.8019441910674887,1.9116842819667783,0.37159421884311106,1
-2.745785606679756,1.4368883025516817,0.07881859565197244,1
-1.8302391908838842,2.847883497078192,-1.9218962333363352,1
-0.6144787195060231,-1.3034392269482415,-0.36145275947419947,1
-0.2726476361431015,-0.4905379102455149,0.947782984331124,1
1.2929925553582609,-0.5906709152403462,0.8018636275033888,1
1.2692613609533068,0.6369347007355071,-0.061593134645496705,1
0.09320619134207403,-0.4703913603492567,-0.17941882917496355,1
0.9236761951010797,0.3159843487092188,0.8097259954940234,1
-0.4571441390330429,-1.7152023333475561,-0.2790091069338627,1
0.2681231410400622,-1.1367078773863777,0.660554573154324,1
-0.07034247948827532,-1.5916886044271816,0.8568461673545371,1
-0.589882730667109,-0.32444306602585377,0.0439809396209145,1
0.3504179385825356,-0.7925164580240492,0.9240845334194807,1
-0.4430330631733997,-1.7136190849302027,-0.38039664677842705,1
-0.7462290910169532,2.674711793215525,1.07484662783554,1
0.6661124333132624,3.3870047654270294,0.052234866822247164,1
0.5485654566348142,2.7459902053764997,0.9089128166581101,1
-0.42855463827757934,2.768351645518455,0.09236076696121198,1
0.7937504717102557,1.8736398692196676,0.8146038995508601,1
-0.8291659212095778,2.3961505679910857,-0.9391048335534632,1
-0.4798338012934686,2.5921251542289414,1.1635636215504896,1
0.5830074002440732,1.9244891669857407,0.21333277583262303,1
0.20749633088606406,0.518204964692669,-0.19179401317277017,1
-1.7993390361637236,2.5225213365814176,0.32802744703382863,1
-0.7847206299885153,1.2289416943940639,-1.0843908727266354,1
-1.2709511120072856,1.6772752928460324,0.9269503098940108,1
2.1280400389032263,0.46678066079301694,0.5710858392084665,1
1.3030752018177982,1.468067332965221,-1.1688086837085765,1
1.4735704167510013,1.2438437979897414,-1.3239432863875051,1
1.8440371297299452,0.07849009234191849,0.6757941351007662,1
0.89127792410761,0.6647699026912535,-0.45946919420336946,1
1.3932992953958794,2.727514461542666,-1.2351751705293186,1
1.865215606149301,0.5584838238083489,-1.4860591698285934,1
1.5703422951366464,1.5888149854601605,-0.20498922002465145,1
2.635499827856161,1.2184403772120418,1.6104646640836717,1
2.076667365762876,1.0535823585838158,0.4708514029734081,1
1.6743168555693602,1.1333093737090687,0.3297926751309228,1
2.168576515300804,-0.1966893862164865,0.41676574763596264,1
-0.04084585612429832,0.20032620625737238,0.447773980829703,0
1.1808470640455164,-0.38314802549577925,0.730983059968438,0
0.04930791051460868,-0.726088539110014,0.5873185031612479,0
1.1846761359850408,0.1227210128949986,-1.8200163362993695,0
0.36790059417718546,-0.148083587928092,-0.2606127820592637,0
0.6668182612472914,0.21268341863105378,0.8609986572491274,0
-0.5541116557211215,0.8668505880857487,0.885447438232965,0
0.029915859947292546,0.17647281514266297,-1.2728600406249517,0
-1.1174825548064367,0.3307591617786292,0.8838961124836329,0
-0.5898071288197446,0.27733779921962937,-0.06477834341325109,0
-0.4889330084002709,-0.08206797591728666,0.5383450790109923,0
0.665393870593676,-0.09004503510119695,0.5167885788674409,0
-2.916327020659621,0.21642368590551392,-3.196352426391787,0
-2.2519035082397094,-0.9621513221438397,-1.7186670522904555,0
-2.61926020087544,-0.22763852207068433,-1.6299154069247503,0
-2.369004311893931,-0.46368802441614915,-0.05238236796737125,0
-2.638200304927205,-0.7812158881213522,-1.6273150362973088,0
-1.0957538736725099,-0.1516080043143451,-1.90292621571589,0
0.31391634978014504,-0.5487665005877618,-0.0339484150818114,0
-0.6030793301112526,-0.8756290009119592,-2.0821337543273417,0
0.2975343585991727,-0.10352929644759028,-0.6074063944206071,0
-0.5546499488654242,-0.1290692301094487,-1.1502300081763106,0
0.15201803203314063,-0.6623057524305282,2.042187102269254,0
-0.788198608906375,0.5786033139195532,0.09385710558875193,0
-1.9884904049536425,-1.0907170541122346,-1.7869595909447924,0
-0.9474603368776444,-1.6188498551803248,-0.3653910601527344,0
-0.9844612815326546,-1.644547976076327,0.9488837822384018,0
-2.617291941988915,-1.4937341496277814,1.2916822983761296,0
-1.3286379912210318,-1.7027646480729883,1.0526991428779153,0
-0.8649596081503345,-1.5045092408235576,-0.2659322655720583,0
-1.1524698783978236,-1.3100987033331435,0.9915148513887018,0
-0.6039996199347483,-0.5492599809311454,2.0260476038714677,0
